Area code,Name,Geography,"Violence against the person domestic abuse-related offences
Apr 2015 to Mar 2016","Percentage of violence offences that were domestic abuse-related
Apr 2015 to Mar 2016","Violence against the person domestic abuse-related offences
Apr 2016 to Mar 2017","Percentage of violence offences that were domestic abuse-related
Apr 2016 to Mar 2017","Violence against the person domestic abuse-related offences
Apr 2017 to Mar 2018","Percentage of violence offences that were domestic abuse-related
Apr 2017 to Mar 2018","Violence against the person domestic abuse-related offences
Apr 2018 to Mar 2019","Percentage of violence offences that were domestic abuse-related
Apr 2018 to Mar 2019","Violence against the person domestic abuse-related offences
Apr 2019 to Mar 2020","Percentage of violence offences that were domestic abuse-related
Apr 2019 to Mar 2020","Violence against the person domestic abuse-related offences
Apr 2020 to Mar 2021","Percentage of violence offences that were domestic abuse-related
Apr 2020 to Mar 2021","Violence against the person domestic abuse-related offences
Apr 2021 to Mar 2022","Percentage of violence offences that were domestic abuse-related
Apr 2021 to Mar 2022","Violence against the person domestic abuse-related offences
Apr 2022 to Mar 2023","Percentage of violence offences that were domestic abuse-related
Apr 2022 to Mar 2023","Violence against the person domestic abuse-related offences
Apr 2023 to Mar 2024","Percentage of violence offences that were domestic abuse-related
Apr 2023 to Mar 2024
[note 3][note 4]"
K04000001,England and Wales,Country,327565,33.02942211493571,375629,32.43255611150205,458711,32.817415205824716,579632,34.63431918579187,626198,35.49875283446712,672912,37.92275595290426,724064,34.54172572191312,719681,34.123662067729455,670168,33.269029333942285
E12000001,North East ,Region,14846,35.215978366582064,20902,34.673125093309885,27913,35.06746400663333,37363,39.41120006750841,37480,38.6371836503273,38646,40.52005242463958,37770,36.28346638231649,39373,35.88399879697055,38257,35.727827118295835
E23000013,Cleveland,Police force area,3919,35.81612136720892,4799,37.36374961071317,5157,36.31178707224335,8792,40.01820664542558,8436,35.929979982111675,9226,38.08462332301342,9429,33.61976752478072,10308,32.854183266932274,10268,35.9221942345368
E23000008,Durham,Police force area,3522,36.92598028936884,5519,37.64408976195348,8259,38.56642540275508,9823,39.454552757360325,10774,40.928430329737125,10468,42.4166295230763,9463,37.968944348593666,9454,36.800311405216036,9040,36.08062263021353
E23000007,Northumbria,Police force area,7405,34.160631083637035,10584,32.28995057660626,14497,32.96196084672927,18748,39.110480640854476,18270,38.705987034447695,18952,40.78242344688085,18878,36.923016742293854,19611,37.24220441338448,18949,35.45845808383233
E12000002,North West,Region,37761,30.591313787600154,43816,28.751788128141527,64352,31.1319887570329,86306,33.751647380420714,86762,35.20856413565292,98215,38.91691200653007,116830,36.38566374327287,117073,36.434451100910294,106038,35.51255387768635
E23000006,Cheshire,Police force area,4949,36.02416654534867,6210,33.79224030037547,7679,28.648709147888376,11592,34.73258426966292,13431,35.604273255043346,14137,37.16546611283454,13862,33.179348476507336,13128,33.76977491961415,12531,35.345386850196036
E23000002,Cumbria,Police force area,2237,30.32809110629067,2206,30.402425578831313,2796,30.11308562197092,4650,32.647616372955135,4998,31.208242272869185,4678,34.60059171597633,5099,30.325918877126206,5080,30.041395623891187,4818,31.283682877735213
E23000005,Greater Manchester,Police force area,14445,27.950310559006212,17375,25.892258401013336,30624,32.541335486887405,35189,35.81905721643713,30303,34.252676078626415,39294,40.075062977430115,50347,37.68036762064423,52997,37.59345694950842,47407,35.73005931519961
E23000003,Lancashire,Police force area,7195,27.558602727133447,8620,27.862175964832893,11610,27.97118558315465,17793,27.801128107373323,17584,31.636710386642918,18565,36.02685761968524,20742,34.45228801594552,18812,33.787740000359214,18519,33.85186268416627
E23000004,Merseyside,Police force area,8935,36.418847313931686,9405,32.74949509018734,11643,33.26286318315573,17082,37.25708303343584,20446,42.0396833556081,21541,42.04680759696278,26780,38.995835396219825,27056,39.27477536326554,22763,37.71705991516437
E12000003,Yorkshire and the Humber ,Region,31004,32.261555430688226,39237,31.070444395172785,52648,33.692132444228285,72318,35.84002378828427,76435,36.798016513010616,78009,38.627113104964494,85563,35.808209317508414,87361,34.929450195316406,80154,33.981125836237375
E23000012,Humberside,Police force area,4889,29.716751762703623,7074,32.45996420869086,8166,32.757029965100884,12286,35.412463250129704,12551,36.11278952668681,12465,37.252323600609664,12646,34.60012585843662,11813,30.263360147563663,13394,32.49551166965889
E23000009,North Yorkshire,Police force area,3506,37.869950313242605,3020,31.156504694109152,4287,39.53338251567687,5150,34.614867589729805,6567,39.16621935945607,6479,40.92603120459857,7152,35.00391542678152,6965,33.89459341087157,5908,30.766026141748686
E23000011,South Yorkshire,Police force area,6318,30.819512195121952,8336,29.38107993796701,12658,32.95410168962016,14928,32.60598912260009,16459,34.48716605552645,17090,36.27602895289847,18391,33.23634655004157,18912,32.73784794349813,18094,33.09010442384009
E23000010,West Yorkshire,Police force area,16291,32.652529463641464,20807,31.323578117002377,27537,33.54979409829674,39954,37.54193093727977,40858,37.66825238780101,41975,39.76750575551156,47374,37.41046962482133,49671,37.41525806743198,42758,35.4027290190104
E12000004,East Midlands ,Region,23915,37.624089486021745,26903,36.29458744806001,29871,34.22041470958873,41864,36.062608216251604,52008,36.74386401209535,53266,37.47537569651601,53671,33.037659891415416,56241,34.292247187585744,54037,34.47468483642117
E23000018,Derbyshire,Police force area,5035,40.412553174412075,4846,39.26111966296686,4784,36.681490568931146,6165,33.90902590616578,12226,39.55354254286639,13750,44.0394593555826,12308,33.14571944092855,13675,37.84838504331461,13874,37.421443020903574
E23000021,Leicestershire,Police force area,4490,36.28869312212075,6664,40.24640657084189,8527,37.635167939268214,10904,39.49150700807649,11206,36.38193565143989,10802,31.495466075750066,12017,30.19195015325863,13132,32.13429256594724,12604,33.41374830995997
E23000020,Lincolnshire,Police force area,2310,32.807839795483595,2787,35.10517697443003,2942,32.93406470390686,6781,38.87519348735883,8727,39.08020240920693,8311,42.2693520496389,8659,38.5873440285205,8866,37.37458898912402,8321,36.24918318449139
E23000022,Northamptonshire,Police force area,5366,38.746479890244785,5428,36.295553326646605,5686,34.849227751899974,6981,34.81621864246172,8304,35.220766000763454,9846,36.01580218011559,8823,32.29502196193265,8179,29.722363543862198,7435,29.51685259438644
E23000019,Nottinghamshire,Police force area,6714,37.6324197074155,7178,32.14653589502441,7932,30.111608837597753,11033,33.63616962897473,11545,34.032956990832176,10557,35.64506871053786,11864,33.177661567717216,12389,34.637105792887496,11803,34.91598627381375
E12000005,West Midlands ,Region,33724,34.330971577490025,39604,35.04995884700822,45139,35.430370009889955,56430,37.13892709766162,64155,37.646775774148686,79980,40.23361453601557,88223,35.708850410018535,90439,36.215582002530795,76977,35.055992494865265
E23000015,Staffordshire,Police force area,9007,39.75196398623003,10652,40.19774331106834,11936,40.48984022524509,13354,42.553055891912564,12450,40.99170288423548,14683,49.43604592437965,14227,44.608534788198035,18620,42.98245614035088,15142,39.69797865925596
