Age,Female Victims,Male Victims
16 to 19 years,40.367692275069444,20.923502111904885
20 to 24 years,47.78399156081559,21.259636480747165
25 to 29 years,49.09198903057033,21.50051315949693
30 to 34 years,50.93084507676377,23.833182288969446
35 to 39 years,50.10159140290094,24.53063157538649
40 to 44 years,49.16957145786344,24.223201174743025
45 to 49 years,44.79475286569543,22.505705705705704
50 to 54 years,42.16134314132799,22.214000687085438
55 to 59 years,39.734670213491576,22.278738555442523
60 to 64 years,40.33984706881903,21.836650510467155
65 to 69 years,41.135362818303655,24.62090623598026
70 to 74 years,41.50321904476718,26.28099173553719
75 years and over,37.60323752890651,26.97804473902237
Total,46.702195665638776,22.865436905921403
