Area code,Name,Geography,"All domestic abuse-related crimes per 1,000 population","Violence against the person  domestic abuse-related offences per 1,000 population"
K04000001,England and Wales,Country,14.11164819146334,11.111533878311242
E12000001,North East ,Region,19.028415528654065,14.258825809529489
E23000013,Cleveland,Police force area,24.06924374273892,17.725238094416067
E23000008,Durham,Police force area,18.489764678573895,14.1782570781498
E23000007,Northumbria,Police force area,17.271001673081397,12.924263908981098
E12000002,North West,Region,17.790711768170596,14.108090179059309
E23000006,Cheshire,Police force area,13.916384445757217,11.301763673997646
E23000002,Cumbria,Police force area,12.251681301226759,9.577900455834905
E23000005,Greater Manchester,Police force area,20.983987603305785,16.28130769737999
E23000003,Lancashire,Police force area,14.946242800663017,11.943966101039026
E23000004,Merseyside,Police force area,19.312368722700043,15.784827620639895
E12000003,Yorkshire and the Humber ,Region,18.639075358645737,14.464935965850378
E23000012,Humberside,Police force area,18.434562763731538,14.204253216212404
E23000009,North Yorkshire,Police force area,8.598493814398129,7.134817620149459
E23000011,South Yorkshire,Police force area,17.05187467899332,12.997582797274632
E23000010,West Yorkshire,Police force area,23.14532148545843,17.979537017881142
E12000004,East Midlands ,Region,14.184977767708983,10.94988205527971
E23000018,Derbyshire,Police force area,16.71674692629673,13.00337221660915
E23000021,Leicestershire,Police force area,14.493646108708944,11.088189107991958
E23000020,Lincolnshire,Police force area,13.512154362727653,10.729519653808264
E23000022,Northamptonshire,Police force area,11.924217051289656,9.382638774085997
E23000019,Nottinghamshire,Police force area,13.549837321149969,10.145830736632183
E12000005,West Midlands ,Region,15.932668322136795,12.783366959205388
E23000015,Staffordshire,Police force area,16.731966614583744,13.210044239951355
E23000017,Warwickshire,Police force area,10.970961349826531,8.696453611233633
E23000016,West Mercia,Police force area,11.688117967950904,9.148513223905313
E23000014,West Midlands,Police force area,18.531282923513178,15.075414311521097
E12000006,East of England ,Region,11.452845879274461,8.987266853450114
E23000026,Bedfordshire,Police force area,11.164343380730228,8.715814174372154
E23000023,Cambridgeshire,Police force area,11.165465023698355,8.61367380741806
E23000028,Essex,Police force area,13.482654086904551,10.486331174382798
E23000027,Hertfordshire,Police force area,9.490381773685277,7.60176923562247
E23000024,Norfolk,Police force area,11.6805486658907,9.211076635768546
E23000025,Suffolk,Police force area,9.904300928365569,7.921358913805778
E12000007,London ,Region,10.687015151959468,8.632015140680654
E23000034,"London, City of",Police force area,13.275560062690145,10.970775329584217
E23000001,Metropolitan Police,Police force area,10.68384441330439,8.629150366225641
E12000008,South East ,Region,11.936566461257891,9.406777284840786
E23000030,Hampshire,Police force area,12.94687550620173,10.203540774286166
E23000032,Kent,Police force area,16.402321454368668,12.800836721497442
E23000031,Surrey,Police force area,7.109687618357568,5.752795296984867
E23000033,Sussex,Police force area,10.931882876501797,8.613491642461074
E23000029,Thames Valley,Police force area,10.828468647682756,8.554839296724122
E12000009,South West,Region,12.440673103226242,9.74625495305107
E23000036,Avon and Somerset,Police force area,13.024214287494534,10.096839023815512
E23000035,Devon and Cornwall,Police force area,12.54616500419255,9.747817277725792
E23000039,Dorset,Police force area,12.06359880382897,9.429780990661918
E23000037,Gloucestershire,Police force area,15.617503743817146,12.67763013692331
E23000038,Wiltshire,Police force area,8.45195611156795,6.7048814304456705
W92000004,Wales,Region,14.159992847198273,11.309090444623264
W15000004,Dyfed-Powys,Police force area,12.572617705714038,10.273900016378123
W15000002,Gwent,Police force area,14.269626443195422,11.09070741093954
W15000001,North Wales,Police force area,16.814854962431035,13.76342086105658
W15000003,South Wales,Police force area,13.358758583647523,10.541926907906483
