Age,Female victims,Male victims
16 to 19 years,15.978237525950318,9.710743801652892
20 to 24 years,25.32537960954447,14.082687338501293
25 to 29 years,31.71146287049825,15.936018957345972
30 to 34 years,35.65136764024108,17.208413001912046
35 to 39 years,38.507061197041025,16.741071428571427
40 to 44 years,37.227987947773684,15.217391304347826
45 to 49 years,34.08667287977633,12.874583795782463
50 to 54 years,29.74784551548037,10.512483574244415
55 to 59 years,27.40676496097138,8.849557522123893
60 to 64 years,21.197007481296758,5.3977272727272725
65 to 69 years,22.792937399678973,5.641025641025641
70 to 74 years,19.94750656167979,4.054054054054054
75 years and over,8.925143953934741,4.794520547945205
Total,28.46839324532485,13.322896926752904
