Offence,"Apr 2020 to
Mar 2021","Apr 2021 to
Mar 2022","Apr 2022 to
Mar 2023","Apr 2023 to 
Mar 2024"
All offences,672912,724064,719681,670168
Death or serious injury- unlawful driving,4,7,12,12
Homicide ,129,159,125,130
Stalking and harassment,248308,273568,270557,246537
Controlling and coercive behaviour [note 4],33135,39523,42265,43399
Harassment,53282,48873,47363,50805
Malicious Communications,78631,85170,81555,41926
Racially or religiously aggravated harassment,173,282,274,382
Stalking,83087,99720,99100,110025
Violence With injury ,176463,181189,184958,178456
Assault with injury,167988,172274,176035,169188
Assault with injury on a constable,189,176,170,220
Assault with intent to cause serious harm,7653,8096,7937,8356
Assaults on emergency workers (other than constables),57,47,42,54
Attempted murder,262,285,222,239
Causing or allowing death of child or vulnerable person,10,17,13,13
Endangering life,165,175,395,282
Intentional destruction of a viable unborn child,8,6,5,8
Racially or religiously aggravated assault with injury,131,113,139,96
Violence Without Injury,248008,269141,264029,245033
Assault without injury,224574,242141,234775,218576
Assault without injury on a constable,253,311,299,320
Child abduction,83,69,78,113
Conspiracy to murder,10,16,9,16
Cruelty to children/young persons,1135,1282,1640,2163
Kidnapping,2696,3150,3460,3347
Modern slavery,236,314,269,301
Procuring illegal abortion,1,3,5,12
Racially or religiously aggravated assault without injury,184,225,241,184
Threats to kill,18836,21630,23253,20001
