Area code,Name,Geography,Number of domestic abuse-related stalking and harassment offences,Percentage of all stalking and harassment offences
K04000001,England and Wales ,Country,203138,34.510069075180844
E12000001,North East ,Region,13801,38.59447971140133
E23000013,Cleveland,Police force area,4058,40.245958544084104
E23000008,Durham,Police force area,2650,30.61460258780037
E23000007,Northumbria,Police force area,7093,41.67450058754407
E12000002,North West,Region,33536,34.753051876722836
E23000006,Cheshire,Police force area,4180,35.19407257725015
E23000002,Cumbria,Police force area,1214,28.47091932457786
E23000005,Greater Manchester,Police force area,15468,33.68686978678921
E23000003,Lancashire,Police force area,5813,35.95373577436912
E23000004,Merseyside,Police force area,6861,37.54925569176883
E12000003,Yorkshire and the Humber ,Region,28285,34.3953304554022
E23000012,Humberside,Police force area,4931,31.773954507378054
E23000009,North Yorkshire,Police force area,1290,29.979084359749013
E23000011,South Yorkshire,Police force area,5902,32.6654859419969
E23000010,West Yorkshire,Police force area,16162,36.44604803247266
E12000004,East Midlands ,Region,16276,34.899328859060404
E23000018,Derbyshire,Police force area,4568,37.43648582199639
E23000021,Leicestershire,Police force area,3586,30.908464057921048
E23000020,Lincolnshire,Police force area,2102,35.75437999659806
E23000022,Northamptonshire,Police force area,2391,32.847918670146996
E23000019,Nottinghamshire,Police force area,3629,37.50904392764858
E12000005,West Midlands ,Region,23696,37.21806873154489
E23000015,Staffordshire,Police force area,5806,40.38956521739131
E23000017,Warwickshire,Police force area,1435,36.37515842839037
E23000016,West Mercia,Police force area,3742,36.34774162214667
E23000014,West Midlands,Police force area,12713,36.26793712378399
E12000006,East of England ,Region,14038,32.62981730277532
E23000026,Bedfordshire,Police force area,1547,34.15765069551777
E23000023,Cambridgeshire,Police force area,2017,31.305292565575044
E23000028,Essex,Police force area,5269,30.129231473010066
E23000027,Hertfordshire,Police force area,2061,40.081680280046676
E23000024,Norfolk,Police force area,1892,34.29400036251586
E23000025,Suffolk,Police force area,1252,32.0778888034845
E12000007,London ,Region,19182,33.889261863538394
E23000034,"London, City of",Police force area,15,11.278195488721805
E23000001,Metropolitan Police,Police force area,19167,33.94251713329437
E12000008,South East ,Region,25083,32.39776807625739
E23000030,Hampshire,Police force area,6546,32.18763829473374
E23000032,Kent,Police force area,6583,35.87270448476922
E23000031,Surrey,Police force area,1598,21.070675105485233
E23000033,Sussex,Police force area,3968,33.06115647392102
E23000029,Thames Valley,Police force area,6388,33.36118654689785
E12000009,South West,Region,16925,36.771095854697144
E23000036,Avon and Somerset,Police force area,6003,34.30089709159476
E23000035,Devon and Cornwall,Police force area,4922,40.613912038947106
E23000039,Dorset,Police force area,2312,38.844086021505376
E23000037,Gloucestershire,Police force area,2550,36.70120898100173
E23000038,Wiltshire,Police force area,1138,32.440136830102624
W92000004,Wales,Region,12282,30.413787980090632
W15000004,Dyfed-Powys,Police force area,1547,22.817109144542773
W15000002,Gwent,Police force area,2532,29.285218598195698
W15000001,North Wales,Police force area,2913,33.5792507204611
W15000003,South Wales,Police force area,5290,32.48986610981452
,British Transport Police,,34,8.947368421052632
