Type of abuse [note 4],"Oct 2021 to Mar 2022
All [note 5]","Apr 2022 to Mar 2023
All [note 6]","Apr 2023 to Mar 2024
All [note 7]","Apr 2023 to Mar 2024 compared with Apr 2022 to Mar 2023 statistically significant difference
All","Oct 2021 to Mar 2022
Women [note 5]","Apr 2022 to Mar 2023
Women [note 6]","Apr 2023 to Mar 2024
Women [note 7]","Apr 2023 to Mar 2024 compared with Apr 2022 to Mar 2023 statistically significant difference
Women","Oct 2021 to Mar 2022
Men [note 5]","Apr 2022 to Mar 2023
Men [note 6]","Apr 2023 to Mar 2024
Men [note 7]","Apr 2023 to Mar 2024 compared with Apr 2022 to Mar 2023 statistically significant difference
Men"
"Any domestic abuse (partner or family non-physical abuse, threats, force, sexual assault or stalking)",4.98259022195191,4.43919306059337,4.79115251243909,[ns],6.89748926964312,5.65401294274821,6.57907502428663,[ns],2.99572229702569,3.19462307263279,3.00824127045124,[ns]
"Any partner abuse (non-physical abuse, threats, force, sexual assault or stalking)",3.45117102950703,3.01611193328351,3.24632576267326,[ns],4.77098293986571,3.95606123086351,4.60347666835374,[ns],2.08716746213178,2.05500405677558,1.89378477455112,[ns]
"Any family abuse (non-physical abuse, threats, force, sexual assault or stalking)",2.06822678065855,1.82225355408827,1.90203554196978,[ns],2.93804278605837,2.18287887982635,2.47989134251583,[ns],1.15803965971181,1.45192990681893,1.32702964070438,[ns]
Domestic abuse (partner or family) - non-sexual,4.49286017383135,4.11969038452306,4.42638345162227,[ns],6.41257260015608,5.17447883036317,6.01583616075703,[ns],2.48716653626505,3.03960486257213,2.84468322266204,[ns]
"Non-physical abuse (emotional, financial)",3.51563964847607,2.97514433760674,3.26857041835177,[ns],5.10417394925386,3.86805460604346,4.54561551052349,[ns],1.85438122102467,2.05543734566399,1.98539004043271,[ns]
Threats or force,2.08686895604534,1.9414188782036,1.78357838224253,[ns],2.90249224404192,2.3802733636808,2.45698613678273,[ns],1.23337809698411,1.49156826829686,1.10743110858243,[ns]
Threats,1.72268337623832,1.45748072216317,1.24862320791657,[ns],2.53262897690347,1.95980081557584,1.87492137732191,[ns],0.882736391278295,0.943169158755934,0.622377530590114,[ns]
Force,1.19400608400681,1.02533722219838,0.899577362984826,[ns],1.65053812109942,1.18934577313515,1.18693845869039,[ns],0.715285585381771,0.857996248736247,0.612750272177868,[ns]
Partner abuse - non-sexual,2.87791658684808,2.62155413469522,2.8677415298345,[ns],3.97167855210408,3.39672292706443,4.02627910806135,[ns],1.73579310292823,1.82720785925107,1.70282080316628,[ns]
"Non-physical abuse (emotional, financial)",2.31056402472973,1.95326548446398,2.31780317123726,[ns],3.25098519637643,2.59332143539708,3.19800073411801,[ns],1.32906721823597,1.2946670772198,1.43118598540719,[ns]
Threats or force,1.2569443526902,1.27505380253564,1.0628216235747,[ns],1.78338257290435,1.62816907197024,1.64009993951616,[ns],0.707450995996623,0.91356701562303,0.483646783299725,[s]
Threats,1.01938166446579,0.887816451148855,0.700502509721889,[ns],1.54877170354481,1.31695510947735,1.21850819443341,[ns],0.470984275188704,0.449358026647947,0.18190704311884,[s]
Force,0.59397386724977,0.685874564586234,0.634356315817235,[ns],0.852954281466068,0.723892766572387,0.894329858602924,[ns],0.324256426592678,0.647042233193514,0.374675574797502,[ns]
Family abuse - non-sexual,1.85006624216692,1.62242852181094,1.66136406714,[ns],2.73418709889752,1.90067126962969,2.1073389498809,[ns],0.9207082709682,1.33557325356424,1.21184660261901,[ns]
"Non-physical abuse (emotional, financial)",1.51929400421084,1.19329206245857,1.14952281225231,[ns],2.33563621934402,1.50575229765009,1.60649889060868,[ns],0.664048855103013,0.870864753921238,0.688870272595389,[ns]
Threats or force,0.888009620509279,0.723682228595617,0.762356322716923,[ns],1.2464642520715,0.821643276544397,0.865499820579408,[ns],0.510516555509472,0.622747540326474,0.658343919224359,[ns]
Threats,0.740083866447526,0.594299833441505,0.578121515469374,[ns],1.06413995870189,0.662230324702661,0.699250194283206,[ns],0.398474454458467,0.524281009650452,0.456227460715055,[ns]
Force,0.580772039874395,0.344452032873549,0.258609637571769,[ns],0.772081480065998,0.458334488386331,0.267367968384977,[ns],0.379233792459613,0.227256526663091,0.249815720238408,[ns]
Any domestic sexual assault (including attempts),0.433840161830719,0.282436907859521,0.307030869527957,[ns],0.750707712506076,0.450129137163229,0.558753384069704,[ns],[c],0.110816097388028,0.055732307772554,[ns]
Domestic sexual assault by rape or penetration (including attempts) ,0.143518346706528,0.150163399680158,0.114031552828826,[ns],0.281366539469977,0.244822263952929,0.20516290926797,[ns],[c],0.0531367326157772,[c],[z]
Domestic indecent exposure or unwanted sexual touching ,0.366128596490709,0.20555685970821,0.242979515744543,[ns],0.616545480578416,0.349763827642674,0.445712463763916,[ns],[c],0.0573012934610521,0.0397018044394896,[ns]
Domestic indecent exposure,[c],0.0116349409678481,0.101800547794313,[ns],[c],0.0229703933063438,0.139220183617673,[ns],[c],[c],[c],[c]
Domestic unwanted sexual touching,0.363293738715845,0.197200654617959,0.184371356597543,[ns],0.613038356905153,0.33422181368047,0.329800733674944,[ns],[c],0.0569125457987775,0.0393948890767804,[ns]
Any sexual assault (including attempts) by a partner,0.428384111435991,0.25685825883771,0.228666582615433,[ns],0.743370641871578,0.40153898514772,0.418295155251427,[ns],[c],0.109195728204425,0.0392188281613526,[ns]
Sexual assault by rape or penetration (including attempts) by a partner,0.141739303028072,0.142105428416107,0.0957286832290763,[ns],0.278472472730673,0.229941333030521,0.184257136288353,[ns],[c],0.0523606209934052,[c],[z]
Indecent exposure or unwanted sexual touching by a partner,0.361928303854626,0.187299534805715,0.182581949140329,[ns],0.611332359043199,0.314798258821452,0.325697773507203,[ns],[c],0.0565007107417723,0.0389682665086183,[ns]
Indecent exposure by a partner,[c],[c],0.069405150129524,[z],[c],[c],0.13909643997941,[z],[c],[c],[c],[c]
Unwanted sexual touching by a partner,0.363262833852146,0.186619644141805,0.127760012489684,[ns],0.613038356905153,0.313297483762615,0.216401190420619,[ns],[c],0.0569125457987775,0.0393948890767804,[ns]
Any sexual assault (including attempts) by a family member,[c],0.0317478732007876,0.0761780378148447,[ns],[c],0.0509243516679218,0.13677290882344,[ns],[c],[c],[c],[c]
Sexual assault by rape or penetration (including attempts) by a family member,[c],0.0159238699616377,0.0191338550905318,[ns],[c],[c],[c],[c],[c],[c],[c],[c]
Indecent exposure or unwanted sexual touching by a family member,[c],0.0195124548912405,0.0564451834481213,[ns],[c],0.0383917030636713,0.11268949876271,[ns],[c],[c],[c],[c]
Indecent exposure by a family member,[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c]
Unwanted sexual touching by a family member,[c],0.0144387578066427,0.0565941628495795,[ns],[c],0.0285415604389073,0.113386600830563,[ns],[c],[c],[c],[c]
Domestic stalking,1.04469617079688,0.679308962599934,0.878514883207724,[ns],1.12891218648336,0.920492404834461,1.23431234433025,[ns],0.95650855762916,0.431202783918826,0.52275924578736,[ns]
Stalking by a partner or ex-partner,0.706838388554202,0.472954538924901,0.652182623302288,[ns],0.837379358480228,0.599482229880559,0.929266681459614,[ns],0.570616812323117,0.343175256251312,0.374737444740548,[ns]
Stalking by a family member,0.377338661084077,0.282780408441036,0.293419867021897,[ns],0.341431069120487,0.41750933749796,0.410767572284686,[ns],0.415303185569863,0.143517657995308,0.176055789557266,[ns]
Unweighted base - number of people aged 16 years and over [note 8],4938,16686,11394,[z],2627,8781,5952,[z],2311,7905,5442,[z]
