Type of abuse [note 6],Sex [note 7],Victims in the last year (000s) ,"Victims in the last year (000s)
Confidence interval 
Lower bound
[note 8]","Victims in the last year (000s)
Confidence interval 
Upper bound
[note 8]",Victims since age of 16 (000s),"Victims since age of 16 (000s)
Confidence interval 
Lower bound
[note 8] ","Victims since age of 16 (000s)
Confidence interval 
Upper bound
[note 8]"
"Any domestic abuse (partner or family non-physical abuse, threats, force, sexual assault or stalking)",All,2307,2066,2548,9892,9431,10354
"Any domestic abuse (partner or family non-physical abuse, threats, force, sexual assault or stalking)",Women,1612,1410,1814,6717,6358,7076
"Any domestic abuse (partner or family non-physical abuse, threats, force, sexual assault or stalking)",Men,712,571,852,3229,2949,3510
Domestic abuse - Non-physical abuse,All,1574,1373,1775,6049,5671,6426
Domestic abuse - Non-physical abuse,Women,1113,948,1279,4216,3918,4514
Domestic abuse - Non-physical abuse,Men,470,354,585,1864,1641,2086
Domestic abuse - Threats or force,All,859,718,1000,6554,6182,6926
Domestic abuse - Threats or force,Women,602,487,717,4582,4283,4881
Domestic abuse - Threats or force,Men,262,176,348,2008,1790,2227
Domestic abuse - Threats,All,601,490,712,4756,4431,5081
Domestic abuse - Threats,Women,459,368,551,3632,3359,3904
Domestic abuse - Threats,Men,147,82,212,1165,996,1333
Domestic abuse - Force,All,433,329,537,5537,5190,5883
Domestic abuse - Force,Women,291,204,377,3829,3548,4111
Domestic abuse - Force,Men,145,84,206,1741,1533,1949
"Any partner abuse (non-physical abuse, threats, force, sexual assault or stalking)",All,1563,1370,1756,7860,7454,8265
"Any partner abuse (non-physical abuse, threats, force, sexual assault or stalking)",Women,1128,962,1293,5618,5291,5944
"Any partner abuse (non-physical abuse, threats, force, sexual assault or stalking)",Men,448,341,554,2296,2064,2529
"Any family abuse (non-physical abuse, threats, force, sexual assault or stalking)",All,916,753,1079,4169,3845,4493
"Any family abuse (non-physical abuse, threats, force, sexual assault or stalking)",Women,607,475,740,2718,2464,2971
"Any family abuse (non-physical abuse, threats, force, sexual assault or stalking)",Men,314,219,409,1474,1281,1667
Partner abuse - non-sexual,All,1381,1199,1562,6758,6377,7139
Partner abuse - non-sexual,Women,986,833,1139,4732,4431,5033
Partner abuse - non-sexual,Men,403,301,504,2063,1841,2285
Family abuse - non-sexual,All,800,649,951,3247,2956,3538
Family abuse - non-sexual,Women,516,398,635,1978,1756,2199
Family abuse - non-sexual,Men,287,195,379,1278,1099,1457
Any domestic sexual assault (including attempts),All,148,81,214,2542,2291,2792
Any domestic sexual assault (including attempts),Women,137,71,203,2302,2072,2532
Any domestic sexual assault (including attempts),Men,13,0,26,273,178,369
Domestic sexual assault by rape or penetration (including attempts),All,55,28,82,1321,1150,1493
Domestic sexual assault by rape or penetration (including attempts),Women,50,24,77,1278,1110,1446
Domestic sexual assault by rape or penetration (including attempts),Men,[c],[c],[c],64,31,97
Domestic indecent exposure or unwanted sexual touching,All,117,55,179,2283,2043,2522
Domestic indecent exposure or unwanted sexual touching,Women,109,47,172,2064,1845,2284
Domestic indecent exposure or unwanted sexual touching,Men,9,0,20,246,154,339
Domestic indecent exposure,All,49,1,97,464,350,578
Domestic indecent exposure,Women,34,0,72,429,323,536
Domestic indecent exposure,Men,[c],[c],[c],43,0,87
Unwanted sexual touching,All,89,38,139,2096,1871,2322
Unwanted sexual touching,Women,81,31,131,1909,1700,2118
Unwanted sexual touching,Men,9,0,20,219,133,305
Any sexual assault (including attempts) by a partner,All,110,62,159,2214,1984,2444
Any sexual assault (including attempts) by a partner,Women,102,54,151,2046,1833,2259
Any sexual assault (including attempts) by a partner,Men,9,0,20,199,116,282
Sexual assault by rape or penetration (including attempts) by a partner,All,46,22,70,1215,1054,1376
Sexual assault by rape or penetration (including attempts) by a partner,Women,45,21,70,1196,1037,1355
Sexual assault by rape or penetration (including attempts) by a partner,Men,[c],[c],[c],38,16,61
Indecent exposure or unwanted sexual touching by a partner,All,88,43,132,1974,1755,2192
Indecent exposure or unwanted sexual touching by a partner,Women,80,36,124,1811,1609,2013
Indecent exposure or unwanted sexual touching by a partner,Men,9,0,19,188,106,269
Indecent exposure by partner,All,33,0,71,332,240,425
Indecent exposure by partner,Women,34,0,72,334,240,427
Indecent exposure by partner,Men,[c],[c],[c],[c],[c],[c]
Unwanted sexual touching by a partner,All,62,35,88,1873,1663,2083
Unwanted sexual touching by a partner,Women,53,28,78,1715,1521,1910
Unwanted sexual touching by a partner,Men,9,0,20,187,105,269
Any sexual assault (including attempts) by a family member,All,37,0,81,672,543,801
Any sexual assault (including attempts) by a family member,Women,34,0,78,591,470,711
Any sexual assault (including attempts) by a family member,Men,[c],[c],[c],90,42,138
Sexual assault by rape or penetration (including attempts) by a family member,All,9,0,20,227,152,301
Sexual assault by rape or penetration (including attempts) by a family member,Women,[c],[c],[c],200,129,271
Sexual assault by rape or penetration (including attempts) by a family member,Men,[c],[c],[c],29,5,54
Indecent exposure or unwanted sexual touching by a family member,All,27,0,70,586,463,710
Indecent exposure or unwanted sexual touching by a family member,Women,28,0,71,523,407,639
Indecent exposure or unwanted sexual touching by a family member,Men,[c],[c],[c],70,27,114
Indecent exposure by a family member,All,[c],[c],[c],218,141,295
Indecent exposure by a family member,Women,[c],[c],[c],180,116,244
Indecent exposure by a family member,Men,[c],[c],[c],40,0,85
Unwanted sexual touching by a family member,All,27,0,70,482,366,598
Unwanted sexual touching by a family member,Women,28,0,71,445,332,557
Unwanted sexual touching by a family member,Men,[c],[c],[c],45,16,74
Domestic stalking,All,423,322,524,2970,2720,3220
Domestic stalking,Women,302,221,384,2319,2102,2536
Domestic stalking,Men,124,64,184,679,553,804
Stalking by a partner or ex-partner,All,314,225,403,2516,2286,2746
Stalking by a partner or ex-partner,Women,228,156,299,2013,1812,2214
Stalking by a partner or ex-partner,Men,89,35,142,528,415,641
Stalking by a family member,All,141,85,198,1065,913,1217
Stalking by a family member,Women,101,50,151,779,645,914
Stalking by a family member,Men,42,14,69,294,219,369
