Type of abuse [note 4],Sex,"Apr 2004 to
Mar 2005 
[note 5]","Apr 2005 to
Mar 2006","Apr 2006 to
Mar 2007","Apr 2007 to 
Mar 2008 
[note 6]","Apr 2008 to
Mar 2009","Apr 2009 to
Mar 2010","Apr 2010 to 
Mar 2011 
[note 7]","Apr 2011 to 
Mar 2012 
[note 7]","Apr 2012 to 
Mar 2013 
[note 7]","Apr 2013 to
Mar 2014","Apr 2014 to
Mar 2015","Apr 2015 to
Mar 2016","Apr 2016 to
Mar 2017","Apr 2017 to 
Mar 2018 
[note 5][note 8]","Apr 2018 to 
Mar 2019 
[note 8]","Apr 2019 to 
Mar 2020 
[note 9]","Oct 2021 to 
Mar 2022
[note 10]","Apr 2022 to 
Mar 2023
[note 11]","Apr 2023 to 
Mar 2024
[note 12]",Apr 2023 to Mar 2024 compared with Apr 2022 to Mar 2023 statistically significant difference,,,,,,,,,,,
"Any domestic abuse (partner or family non-physical abuse, threats, force, sexual assault or stalking)",Women,11.0780510848455,11.493999399514188,11.03047182954135,[x],8.884717245808067,9.236445747431231,9.052097106897676,9.050378129243757,8.78329928391209,8.465077319148648,8.165390279802123,7.709673219269052,7.452457391988314,7.922116558595046,8.383466971467522,8.085510771210465,7.90772263954619,6.49942502135976,7.42267667726725,[ns],,,,,,,,,,,
"Any domestic abuse (partner or family non-physical abuse, threats, force, sexual assault or stalking)",Men,6.495646104806023,6.3515701146503165,6.504591375201883,[x],4.217774706693051,4.132937015677988,4.787677014293596,4.911388964576275,4.381740620075039,4.530684522304952,3.9552802975605466,4.376421767489658,4.3340144884535174,4.216243874134554,4.195819970456709,4.029084686577122,3.53880572585013,3.75922825530689,3.33515462198965,[ns],,,,,,,,,,,
"Any partner abuse (non-physical abuse, threats, force, sexual assault or stalking)",Women,8.65073932620876,9.225465238632003,8.697371257098943,[x],6.987348134078495,7.364374097201099,7.408327936314041,6.883648949880264,6.658768427674999,6.793446766110581,6.475845062340719,6.230880299786246,5.9466231116544055,6.256980807506083,6.375420398669647,6.165795642731854,5.27120478241274,4.47387758508719,5.0190393960197,[ns],,,,,,,,,,,
"Any partner abuse (non-physical abuse, threats, force, sexual assault or stalking)",Men,4.880733741038623,4.815840984583897,4.91453865140307,[x],2.9759028772679508,3.0636050782094517,3.573818277136923,3.5158396790828266,3.0469070638066897,3.0294430559389145,2.7539494259677615,2.987351671725324,2.986210983636378,2.7401895780799457,3.10436373690748,2.784378462230195,2.57764990514938,2.39406916413393,2.12529147602914,[ns],,,,,,,,,,, 
"Any family abuse (non-physical abuse, threats, force, sexual assault or stalking)",Women,4.33687153951272,4.356652870929509,4.342622541432125,[x],3.3357412117044585,3.170518101766942,3.1368506386160644,3.396725370812165,3.1512876463899984,2.5388491156157067,2.5378073327110857,2.183250304694842,2.031942158472958,2.4366603507838436,2.783265465467316,2.6646341019392707,3.56420204513838,2.60070776620424,2.89566173740523,[ns],,,,,,,,,,,
"Any family abuse (non-physical abuse, threats, force, sexual assault or stalking)",Men,2.5255934952236903,2.4072050854468223,2.5926136352031497,[x],2.0398076169821793,1.7942446788794508,1.965744721474791,1.9719339830828944,1.8425679125375891,1.8469546421236993,1.5630075105782013,1.9668934295383547,1.5879492134755715,1.9674178910266964,1.542645702642936,1.6065434053594208,1.29573687252532,1.69173064084204,1.37294849724978,[ns],,,,,,,,,,,
Partner abuse - non-sexual,Women,8.625293705388907,8.777104856651162,8.644851039400082,7.538236298450419,6.538726123384942,7.178076724968522,6.44062097668439,7.023852624214969,6.078256537639273,5.9320273739687845,5.829772255247379,5.399304169547049,5.205224590337796,5.634464493511014,5.386574496652863,5.338462639811761,4.3273092502581,3.74723095973028,4.35357567398242,[ns],,,,,,,,,,,
Partner abuse - non-sexual,Men,4.629427326108614,4.528254300814907,4.85848536417126,4.668832993343128,2.8386356544265716,2.9232486512084286,3.0627032832389913,3.809669728894326,2.739450262958164,2.792232832835783,2.5430823909166542,2.753862252707522,2.7315777519144304,2.451423650183211,2.8097041716694453,2.3838606655246855,2.10891434478371,2.11245169159998,1.90201689689139,[ns],,,,,,,,,,,
"Non-physical abuse (emotional, financial)",Women,5.854566667074447,5.634773292338013,5.495721993656177,5.349678028923066,4.197981733493329,4.612131289790768,4.361206718179775,4.65336561024513,4.48934388028741,4.2144843328988895,3.9985415271805698,3.9384805425271443,4.0040690398472885,4.50316037620542,4.3124733895607035,4.141181711012202,3.44421440600608,2.90960658453941,3.51054211575034,[ns],,,,,,,,,,,
"Non-physical abuse (emotional, financial)",Men,3.190935987345595,3.24922097671846,3.456083409786702,3.307985006417834,2.143343026614372,2.3519154185098743,2.1041706043840493,2.625317380560298,1.8770417747844677,1.7618353550163726,1.5087145017024477,2.0500566434613194,2.00990134699646,1.5434456326051407,1.83833708914628,1.7182690115094474,1.64427781424309,1.53327116063577,1.67032841805396,[ns],,,,,,,,,,,
