Characteristic groups,Characteristics,"Any domestic abuse
All ","Any domestic abuse
Women","Any domestic abuse
Men","Any partner abuse
All ","Any partner abuse
Women","Any partner abuse
Men","Any family abuse
All ","Any family abuse
Women","Any family abuse
Men","Domestic abuse (non-sexual)
All ","Domestic abuse (non-sexual)
Women","Domestic abuse (non-sexual)
Men","Domestic sexual assault
All
[note 6]","Domestic sexual assault
Women
[note 6]","Domestic sexual assault
Men
[note 6]","Domestic stalking
All ","Domestic stalking
Women","Domestic stalking
Men","Unweighted base
Number of people aged 16 and over
[note 7]","Unweighted base
Number of Women
[note 7]","Unweighted base
Number of Men
[note 7]",,,,,
All people aged 16 years and over,All people aged 16 years and over,4.79115251243909,6.57907502428663,3.00824127045124,3.24632576267326,4.60347666835374,1.89378477455112,1.90203554196978,2.47989134251583,1.32702964070438,4.42638345162227,6.01583616075703,2.84468322266204,0.307030869527957,0.558753384069704,0.055732307772554,0.878514883207724,1.23431234433025,0.52275924578736,11394,5952,5442,,,,,
Age group,16 to 19 ,8.73917767054387,11.215287249178,5.76840098070024,2.91408076430396,4.4867688252159,[c],6.3225122449806,7.73064174302492,4.64125916693267,7.82365493919885,9.97170715622302,5.35631233328225,1.88811241862368,3.16987246848099,[c],1.42935793201292,2.03473348458123,[c],252,140,112,,,,,
Age group,20 to 24,7.08293812394676,9.40463102358492,4.76493305695247,5.15874634268194,7.31723469898664,2.96094385251076,1.95739788805455,2.04508211242045,1.87347911350412,6.55631172056865,7.95673235283656,5.11825994084975,0.475969401076276,0.951892894796907,[c],2.16277641059851,2.81274407416446,[c],404,215,189,,,,,
Age group,25 to 34,5.0921910402527,6.88663803745943,3.51305144141076,3.85865950085348,4.88363901446901,2.96100204426093,1.61333474289099,2.67135416226037,0.68646456958951,4.82905217292333,6.61162327565415,3.26128767571926,0.273888597941019,0.489896207479755,[c],1.03503818127564,1.3048326621291,0.799143603339424,1725,931,794,,,,,
Age group,35 to 44,5.11162165481442,7.68279361357493,2.60233221271862,3.60316830155966,5.74825199574766,1.50637132780057,1.85365965425018,2.47429447903477,1.25032938066152,4.57068616317203,6.66727837084408,2.5122576013359,0.356500725222091,0.676205313092162,[c],1.24815838997672,2.20526175142289,0.308719134414931,1923,1030,893,,,,,
Age group,45 to 54,4.81108506857869,7.02388673461503,2.59172257913457,3.27615359847426,4.68956877368411,1.85872784525514,1.79790806612159,2.46254460727634,1.12734917233502,4.59368934035203,6.57200599664953,2.59376323375658,0.112007524855608,0.190304739212472,[c],0.664849497186451,0.979889050420516,0.346261579155956,1755,933,822,,,,,
Age group,55 to 59,3.77501896837085,4.45171250748505,3.12744406429467,2.56327476967929,3.18517025732421,1.96409506198024,1.5360586285352,1.94965789330196,1.1365679800518,3.59338172702558,4.57068898599529,2.6833368650337,[c],[c],[c],0.61595440472904,0.743154198386552,0.493430610939284,1008,516,492,,,,,
Age group,60 to 74,3.96210249110598,5.02112867084367,2.84033698144124,2.87770686746841,3.88809436526496,1.81250695851109,1.64063744780553,1.76353263339163,1.51025529801142,3.72324540529659,4.63052337754584,2.76156984527532,0.124346625760169,0.199756488435041,[c],0.362233524526613,0.473454346124308,0.243447952897946,2921,1477,1444,,,,,
Age group,75 years and over,2.0889132504106,3.48274998407555,0.610799437226678,1.52855140427429,2.89828591100906,[c],0.690370556257489,0.844179963005017,[c],1.78146706932859,3.27700683872429,[c],[c],[c],[c],0.36717974372901,0.337962474399502,[c],1406,710,696,,,,,
Ethnic group,White,5.00894063628697,6.72135733874698,3.24791438910984,3.46611443244849,4.88395862125113,2.00761646262477,1.95909489813841,2.40099938614813,1.50544155938902,4.6104958585078,6.1680548571584,3.0159707284084,0.360170423643623,0.652951732168465,0.0586555518001068,0.93540403439888,1.22752588618988,0.634080614092257,9840,5184,4656,,,,,
Ethnic subgroup,White - English/Welsh/Scottish/Northern Irish/British,4.99472099169591,6.66098227491022,3.28648059839827,3.40557704097861,4.75980725750902,2.02074272128569,1.97638207335488,2.42532724620496,1.51667085769687,4.56935221153074,6.03014729910241,3.07642517900966,0.321018618059472,0.595088383138365,0.0396222733000152,0.914436360256043,1.20235683087234,0.618350715945201,9009,4737,4272,,,,,
Ethnic subgroup,White - Irish,3.47474140295281,[c],[c],3.34172841375161,[c],[c],[c],[c],[c],3.61875030795827,[c],[c],[c],[c],[c],[c],[c],[c],81,43,38,,,,,
Ethnic subgroup,White - Gypsy/Irish traveller,[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],7,4,3,,,,,
Ethnic subgroup,White - Any other white background,5.2683328143836,7.28180726453657,3.15317154055533,4.05138912885552,5.90675872258334,2.05967084445445,1.86101982977146,2.17751094406903,1.53107234850626,5.09409725263903,7.4221058018756,2.66636449529486,0.727066701503158,[c],[c],1.20717423126896,1.53660302845156,0.859668980286391,743,400,343,,,,,
Ethnic group,Mixed,7.1444454267026,7.78932534289748,[c],4.18681427860669,5.97615457312827,[c],3.49901982229938,[c],[c],6.62445008059551,6.58121090284101,[c],[c],[c],[c],1.76936656754658,3.21062191615223,[c],154,88,66,,,,,
Ethnic subgroup,Mixed - White and Black Caribbean,6.59509465216791,[c],[c],3.35751268024796,[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],52,35,17,,,,,
Ethnic subgroup,Mixed - White and Black African,[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],19,9,10,,,,,
Ethnic subgroup,Mixed - White and Asian,[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],43,23,20,,,,,
Ethnic subgroup,Mixed - Any other Mixed or Multiple ethnic background,[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],40,21,19,,,,,
Ethnic group,Asian or Asian British,3.01987081570796,4.63877676738351,1.83128448389183,2.0726522512942,2.73054767077091,1.60277148495621,1.02130909308082,2.10855407004324,[c],3.02629036436686,4.5009519908019,1.93686336740794,[c],[c],[c],0.134007893698773,0.316775716999384,[c],834,374,460,,,,,
Ethnic subgroup,Asian - Indian,1.98689492612393,3.09721370294104,1.34820536904567,1.33223592692511,1.89748393159639,1.01342096878995,0.900199199159479,1.6418537597176,[c],1.7960835710733,2.46366040320744,1.4097945346029,[c],[c],[c],[c],[c],[c],379,151,228,,,,,
Ethnic subgroup,Asian - Pakistani,1.90088059567428,4.81880179219043,[c],1.75955827230443,4.67835071525591,[c],[c],[c],[c],1.92632988223805,4.70453365761791,[c],[c],[c],[c],[c],[c],[c],150,57,93,,,,,
Ethnic subgroup,Asian - Bangladeshi,[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],64,29,35,,,,,
Ethnic subgroup,Asian - Chinese,[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],98,57,41,,,,,
Ethnic subgroup,Asian - Any other Asian background,6.52044069249762,[c],[c],[c],[c],[c],[c],[c],[c],7.09823240017014,[c],[c],[c],[c],[c],[c],[c],[c],143,80,63,,,,,
Ethnic group,Black or Black British,3.43232486941417,5.54291291107234,1.02994953112174,1.10295069356096,1.19982390587979,0.988956932395558,2.31006996646309,4.33967069275275,[c],3.50901599949219,5.57343501381348,1.11457104803743,[c],[c],[c],0.538856123399452,1.0066334302587,[c],418,238,180,,,,,
Ethnic subgroup,Black - African,1.8896383196757,2.81880320637752,[c],0.727713077801202,0.659036419878715,[c],1.19613938681121,2.25493612222548,[c],1.81512437344388,2.61457112412677,[c],[c],[c],[c],[c],[c],[c],286,162,124,,,,,
