Characteristic groups,Characteristics,"Any domestic abuse
All ","Any domestic abuse
Women","Any domestic abuse
Men","Any partner abuse
All ","Any partner abuse
Women","Any partner abuse
Men","Any family abuse
All ","Any family abuse
Women","Any family abuse
Men","Domestic abuse (non-sexual)
All ","Domestic abuse (non-sexual)
Women","Domestic abuse (non-sexual)
Men","Domestic sexual assault
All 
[note 6]","Domestic sexual assault
Women
[note 6]","Domestic sexual assault
Men
[note 6]","Domestic stalking
All ","Domestic stalking
Women","Domestic stalking
Men","Unweighted base
Number of people aged 16 and over
[note 7]","Unweighted base
Number of Women
[note 7]","Unweighted base
Number of Men
[note 7]"
All people aged 16 years and over,All people aged 16 years and over,4.79115251243909,6.57907502428663,3.00824127045124,3.24632576267326,4.60347666835374,1.89378477455112,1.90203554196978,2.47989134251583,1.32702964070438,4.42638345162227,6.01583616075703,2.84468322266204,0.307030869527957,0.558753384069704,0.055732307772554,0.878514883207724,1.23431234433025,0.52275924578736,11394,5952,5442
Structure of household,Single person with child(ren) under 16,20.0502183695468,20.521603420344,[c],18.0789068538597,19.4106303025568,[c],4.722773721714,4.31086049486977,[c],18.4216432052436,18.644538013189,[c],1.03988427002735,0.989473899434718,[c],6.29556366604585,7.03938638165187,[c],492,444,48
Structure of household,Persons with child(ren) under 16,4.57139644669013,6.10460714688984,3.03925087890456,2.8064734667085,3.95390092681201,1.65489060773375,1.90451338502289,2.31348226738003,1.49565721299959,4.29369232218875,5.73536286532102,2.84279175727429,0.293681068909216,0.52583429618117,[c],0.872789151702769,1.13580579900789,0.607744023427305,2357,1238,1119
Structure of household,Person(s) and no child(ren),4.38305006411656,5.93603500026967,2.91169126647448,2.92885505666314,3.97579060296314,1.93863512334921,1.81126224564639,2.43363976058271,1.22333889670925,4.02106420114147,5.3647029278918,2.75590344603184,0.288583765647635,0.54599030134837,0.0443934499484343,0.705780758689692,0.926546583968289,0.496585727105785,8545,4270,4275
Total household income,"Less than £10,400",8.97258034787609,11.4987440868536,5.7491257144974,6.65908145871012,9.09965300218843,3.5266649419491,4.13532339057658,4.98270113747163,3.05809380158991,8.08029893959193,10.0858126417371,5.61571597124461,0.606310377894254,1.08668890368678,[c],2.10704657994005,3.0773277692864,0.869502284812608,595,351,244
Total household income,"£10,400 to less than £20,800",8.08310771360668,10.9306717971127,4.0643374107981,6.19172027053308,8.41521521763996,3.03179460377767,2.61087978467522,3.47090633071854,1.39900232260548,7.6055957220754,10.2373944384958,3.89736811805461,0.406682947052337,0.636427806413605,[c],1.40797258143766,1.98445490599818,0.587917741427092,1798,1063,735
Total household income,"£20,800 to less than £31,200",4.94733028544108,6.71991243971378,2.99684487073667,3.39775939396496,4.81581719639932,1.86393855330394,1.73792917101462,2.1062389491707,1.33516690992262,4.63922126228135,6.4365940960313,2.64817731096179,0.361596062472744,0.483696037653334,0.227118065343483,1.28601203954512,1.39150400892253,1.17032516455096,1876,1027,849
Total household income,"£31,200 to less than £41,600",4.60814239425592,6.8908835838706,2.50168503170471,2.65362346875958,4.43232318196879,1.02449179130332,2.26504104877379,2.80375941382343,1.76736084336689,4.49538209372342,6.71032874569127,2.44837778790666,0.211865064629247,0.441126303259667,[c],0.670790399422045,0.882053044639948,0.474570390256023,1356,662,694
Total household income,"£41,600 to less than £52,000",5.32439395305874,6.88457862064107,3.87595493709182,3.47958951522684,4.61013837602872,2.42258951921858,2.047874440178,2.51144354729932,1.62172781891569,5.28726355603046,6.83855710374885,3.8271652976789,0.198410273243672,0.412042706252784,[c],0.764790728675817,0.985154857959609,0.556272071328342,1268,638,630
Total household income,"£52,000 or more",3.66179064261563,4.30339809018425,3.12400536165923,2.37229401289769,2.74691540781597,2.05869060117803,1.53415343892258,1.99910692203257,1.14381901470003,3.12354188891585,3.32327857413085,2.95685189313485,0.394482915760821,0.864277748738087,[c],0.688628398214485,1.03282178842552,0.400066087972683,2709,1256,1453
