Area code,Name,Geography,"Total number of domestic abuse-related crimes
Apr 2015 to Mar 2016","Percentage of all crimes that were domestic abuse-related
Apr 2015 to Mar 2016","Total number of domestic abuse-related crimes
Apr 2016 to Mar 2017","Percentage of all crimes that were domestic abuse-related
Apr 2016 to Mar 2017","Total number of domestic abuse-related crimes
Apr 2017 to Mar 2018","Percentage of all crimes that were domestic abuse-related
Apr 2017 to Mar 2018","Total number of domestic abuse-related crimes
Apr 2018 to Mar 2019","Percentage of all crimes that were domestic abuse-related
Apr 2018 to Mar 2019","Total number of domestic abuse-related crimes
Apr 2019 to Mar 2020","Percentage of all crimes that were domestic abuse-related
Apr 2019 to Mar 2020","Total number of domestic abuse-related crimes
Apr 2020 to Mar 2021","Percentage of all crimes that were domestic abuse-related
Apr 2020 to Mar 2021","Total number of domestic abuse-related crimes
Apr 2021 to Mar 2022","Percentage of all crimes that were domestic abuse-related
Apr 2021 to Mar 2022","Total number of domestic abuse-related crimes
Apr 2022 to Mar 2023","Percentage of all crimes that were domestic abuse-related
Apr 2022 to Mar 2023","Total number of domestic abuse-related crimes
Apr 2023 to Mar 2024
[note 3][note 4]","Percentage of all crimes that were domestic abuse-related
Apr 2023 to Mar 2024
[note 3][note 4]"
K04000001,England and Wales,Country,421185,10.838952444332586,488049,11.327185393482695,599549,12.260908811856547,746219,14.156129673827326,798607,15.053207892290397,845734,18.364845318716167,910980,17.093898413854056,911248,16.334804260664075,851062,15.754435309429926
E12000001,North East ,Region,20396,11.441778535726106,28824,13.031094875991212,38874,14.366968611754793,51604,17.808115177825783,50513,17.869891145536684,51471,21.271908979323626,50354,18.772835050777697,52394,18.021346046028487,51054,17.89390673466169
E23000013,Cleveland,Police force area,5447,11.33044889129259,6658,13.113785428689607,7294,12.75598537975901,11900,17.675717426177886,11854,17.060533663394835,12621,20.21753756447634,12905,17.56666621292351,13981,16.609839259620067,13943,18.18335941575378
E23000008,Durham,Police force area,4740,13.000905126306263,7393,15.862083762444216,11161,18.18611396262078,13137,20.59316852946248,13949,21.63507770574185,13434,24.081310723120495,12423,21.03596586290978,12364,19.31844814924767,11789,18.3386482072023
E23000007,Northumbria,Police force area,10209,10.89238845144357,14773,11.931510721641159,20419,13.431166832207436,26567,16.74450558108168,24710,16.615674276300307,25416,20.53735202618076,25026,18.44092875196192,26049,18.27243457094957,25322,17.542085209560096
E12000002,North West,Region,49189,9.767668142735161,56549,9.798516074702228,84526,11.927059889288843,111670,14.560650906862426,110432,15.483017079661154,123650,19.464869570419065,146205,18.70284473076244,147340,18.472108169776902,133717,18.271917706202508
E23000006,Cheshire,Police force area,6795,12.878586861756567,8304,12.59670519705106,9857,11.272228257762022,15252,16.13404842753324,17025,17.925958683429148,17513,21.05940355940356,17154,19.050897904334597,16201,18.72818070422861,15430,19.56582384418351
E23000002,Cumbria,Police force area,2969,11.429341340416522,2703,10.652216748768472,3453,12.132391693896912,5764,15.678807496667845,6230,16.30932746930548,5788,18.71867015943857,6336,17.057018252301727,6426,16.526502584677107,6163,17.32980907122571
E23000005,Greater Manchester,Police force area,18773,8.352836484983316,22739,8.502436051315991,41556,12.234335393193922,46788,14.021775288374226,39666,13.212751074248027,50748,18.561135291320728,64318,18.296797391942558,67962,18.28400170028679,61100,17.831502515671875
E23000003,Lancashire,Police force area,8886,9.090351092560766,10667,9.844946931241347,14356,11.261285995560122,21897,13.170573269095437,21474,15.1002039237747,22812,19.18587047939445,25445,18.533625656452354,23212,17.679271868692638,23174,17.907979537270297
